role,company,exp,salary,location,desc,req
sr. hr analyst,Cvent India Pvt. Ltd.,3-6 Yrs,"8,00,000 - 15,00,000 PA.",Gurgaon,"Roles and Responsibilities Develop HR reports (including Global), dashboards, presentat...","Business Intelligence
Data Analysis
Senior HR
Data Analytics
Data Reporting
HR Analytics
Business Analysis"
fin plan & controls analyst 4,Wells Fargo India Solutions Pvt. Ltd.,2-5 Yrs,Not disclosed,Bengaluru,About the Role The role is for Financial Controls Oversight Senior Consultant - Data An...,"Data analysis
Automation
Financial reporting
Business analysis
Project management
Strategic planning
Data analytics
Information technology"
analyst cs operations,Aptean,3-6 Yrs,Not disclosed,Bengaluru,Job Description 2 years experience in business writing. The other skills on power point...,"Report generation
Data analysis
Ticketing
Business writing
Excel
Data management
Business analytics
Issue resolution"
"business analyst , reporting to ceo , initially bangalore then chennai",DAPP CONSULTANTS,1-5 Yrs,"6,00,000 - 8,00,000 PA. (Including Variable: 25.0%)","Chennai, Bengaluru","BUSINESS ANALYST Detailed business analysis, outlining problems, opportunities and solu...","Presentation Skills
MIS
Data Management
Data Analysis
EA
Business Analysis"
associate solution analyst,Cargill India Pvt. Ltd.,1-5 Yrs,Not disclosed,karnataka,Position Purpose & Summary The Solution Analyst is a member of the Applications Managem...,"Computer science
Data analysis
Data management
Business analysis
Configuration management
Consulting
Application security
DBMS"
junior healthcare data analyst,SCIO Health Analytics,2-7 Yrs,Not disclosed,Chennai,• 2 years hands on SAS programming • Should possess good analytical skills and logical ...,"data cleansing
Automation
SAS
Data management
Healthcare
Data quality
SAS Programming
Macros"
healthcare data analyst,SCIO Health Analytics,3-6 Yrs,Not disclosed,Chennai,Hands on SAS programming Should possess good analytical skills and logical thinking Sho...,"Automation
Data management
Quality check
Configuration management
Healthcare
Data quality
Macros
Business Executive"
research analyst operation,TechSci Research,5-10 Yrs,Not disclosed,Noida,TechSci Research seeks result oriented experienced professionals for the Market Researc...,"Data analysis
Team management
Primary research
Data management
Networking
Business analytics
Consulting
Market research"
info security analyst 4,Wells Fargo India Solutions Pvt. Ltd.,6-10 Yrs,Not disclosed,"Bengaluru, Hyderabad",Market Responsibilities: Coordinate activities and support processes related primarily ...,"Automation
Data analysis
hsm
Data management
Project management
Project coordination
Information security
Risk management"
reporting analyst,WM Logistics India Pvt. Ltd,1-4 Yrs,"2,00,000 - more than 3,00,000 PA.",Gurgaon(Gwal Pahari),"Comfortable with ShiftsBA, BS, or BCom degree required (Bachelors Degree in Accounting ...","data analysis
data management
mis excel
report generation
advanced excel
reporting tools
MIS Reporting"
data system analyst  -wilcosource-chennai,Wilco Source Technologies Pvt Ltd,6-11 Yrs,Not disclosed,Chennai,"Hello Partner, Greetings from Wilcosource! Wilcosource is major implementation partners...","Business Process Mapping
Project Management
Requirement Gathering
Data Management
Process Modeling
SQL Server
Dashboards
Data Reporting"
"lead analyst, operations insight",COLT TECHNOLOGY SERVICES INDIA PRIVATE LIMITED,5-10 Yrs,Not disclosed,"Delhi NCR, Bengaluru, Gurgaon",Automate daily reporting requirement and deliver on time with qualityMust haveDeliver t...,"VBA
Data Analysis
Data Analytics
SQL"
compensation analyst,Cargill India Pvt. Ltd.,2-6 Yrs,Not disclosed,karnataka,Principal Accountabilities Annual Compensation Support- 20% Based on the remedy force r...,"Business services
Data analysis
Data validation
Data management
Analytical
data visualization
Continuous improvement
Analytics"
research analyst,Analytics Vidhya Educon Pvt. Ltd,0-2 Yrs,Not disclosed,Hyderabad,Here is an excellent opportunity for Freshers and people with limited experience lookin...,"Data analysis
Excel
data science
Data management
Coding
Analytical
HTML
Research"
sr. data engineer,TeamPlus Staffing Solution Pvt Ltd,3-5 Yrs,Not disclosed,Pune,Number of post : 3 Gender : Male /Female Industry : IT Job Role & Responsibility : Coll...,"Data analysis
Data management
Data modeling
Machine learning
System design
Apache
SSIS
microsoft"
analyst-tsm,ExecBoardinAsia,5-10 Yrs,Not disclosed,"India,Pimpri",Execute direct material cost out projects under tail spend management via the company S...,"Product engineering
Data analysis
Data management
Project management
Issue resolution
PPAP
Risk management
SCM"
mis data analyst,EagleView,3-6 Yrs,Not disclosed,Bengaluru,Primary Responsibilities: Create global centralized dashboards and reports on HR-recrui...,"Data management
Talent acquisition
HRIS
MIS
Analytical
HR
Advanced Excel
data integrity"
clinical trial analyst,Analytics Vidhya Educon Pvt. Ltd,2-7 Yrs,Not disclosed,Bengaluru,Job Description: To Review of various clinical trial protocols and source documents Cli...,"Data analysis
Statistical analysis
Data management
GCP
Competitive analysis
Clinical trials
Clinical research
HTML"
healthcare data analyst,SCIO Health Analytics,3-5 Yrs,Not disclosed,Chennai,"Hands on SAS programming for 3 years Should be handling large and voluminous data, clea...","data cleansing
Automation
Excel
SAS
Data management
Healthcare
Data quality
SAS Programming"
sr. business analyst- data analytics/data insights generation- bfsi,Huquo Consulting Pvt. Ltd,4-6 Yrs,Not disclosed,Delhi NCR,Good communication / problem solving / analytical bent of mind Experience in credit car...,"SAS
Business Analyst
Data Insights Generation
Excel / VBA
Data Analytics
Statistics
Analytics"
analyst - data analytics,Repucom,0-2 Yrs,Not disclosed,Bengaluru,RESPONSIBILITIES Deliver as a part of our consultant team in driving high quality resul...,"Analyst
Statistical modeling
Quality standards
Business analytics
Market research
Actuarial
Data analytics
SPSS"
analyst-data analytics,Repucom,0-2 Yrs,Not disclosed,Vadodara,RESPONSIBILITIES Deliver as one part of our media projects team in driving high-quality...,"Analyst
Statistical modeling
SAS
Time management
analytics analyst
Market research
Actuarial
Data analytics"
analyst-data analytics,The Nielsen Company,0-2 Yrs,Not disclosed,Vadodara,RESPONSIBILITIES Deliver as one part of our media projects team in driving high-quality...,"Statistical modeling
SAS
Time management
Market research
M&A
Actuarial
Data analytics
Management"
data maintenance-clinical data management   analyst,Accenture Solutions Pvt Ltd,5-8 Yrs,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shiftsYou will have to...,"Design Development
Clinical Research
Data Maintenance
Clinical Data Management
Cdm"
data maintenance- clinical data management analyst,Accenture Solutions Pvt Ltd,5-7 Yrs,Not disclosed,Bengaluru,Please note that this role may require you to work in rotational shiftsYou will have to...,"Design Development
Clinical Research
Data Maintenance
Clinical Data Management
Cdm"
data maintenance-data management and integration analyst,Accenture Solutions Pvt Ltd,5-7 Yrs,Not disclosed,Hyderabad,Please note that this role may require you to work in rotational shiftsYou will have to...,"Communication Skills
Integration
Design Development
Data Management
Data Maintenance"
data engineer,"Stebr, Inc",8-13 Yrs,Not disclosed,Hyderabad,"Who we are looking for You will have: Strong hands-on experience in Java and Python, wi...","Analytical skills
Data analysis
SQL database
Architecture
GCP
Cloud
Javascript
Data quality"
opening for data engineer :: mnc client :: pan india,Ubique Systems Private Limited,7-10 Yrs,"7,00,000 - 12,00,000 PA.","Chennai, Pune, Delhi NCR, Bengaluru, Hyderabad, Kolkata",Information transmitted by this e-mail is proprietary to Ubique Systems and/ or its Cus...,"Azure Databricks
Spark
SQL
Azure Data Factory
Java
SCALA
Data Analysis
Data Warehousing"
business analyst - data mining,Talpro,1-3 Yrs,Not disclosed,Gurgaon,Experience with clickstream data is strongly desired BTech/ BE /MTech Graduate in Compu...,"R
MS Excel
Business Analyst
MySQL
Data Mining
Data Analyst
SQL
T - SQL"
sr. database analyst/ lead database analyst - microsoft sql server,Zingo,4-7 Yrs,Not disclosed,Bengaluru,Experience : 1. Minimum 4 years of database programming and/or database administration ...,"Database Programming
DBA
Open Source
Database Performance Tuning
Version Control System
Data Analyst
DBMS
DB"
sr. ml data engineer,Wolters Kluwer India Pvt Ltd,7-11 Yrs,Not disclosed,Pune,Technical Skills:1. Overall 8-11 years of experience with 3-5 years in Python coding2. ...,"Data Science
NLP
datamodeler
Statistical Modeling
Data Analysis
Perl
Data Modeling
Machine Learning"
sr data analyst - startup,Benchire,3-8 Yrs,Not disclosed,Bengaluru,Bonus: MBA or degree in analytics from Tier 1 institute The ideal Candidate: Has 3+ yea...,"Data analysis
R
Data Analysis
Statistical Analysis
SQL
Python"
sr data analyst - startup - bangalore,Benchire,3-8 Yrs,Not disclosed,Bengaluru,Tier 1 instituteHas 3+ years experience in a data analysis related profile for an e-com...,"Data analysis
R
Statistical Analysis
SQL
Python"
"sr. data analyst-powerbi,sql,python,db",Recruise India Consulting Pvt. Ltd.,2-5 Yrs,"7,00,000 - 15,00,000 PA.",Bengaluru,"Experience in analysing very large, complex and multi-dimensional data setsImmediate jo...","python
Data Analysis
SQL"
data quality and governance engineer,McAfee Software (India) Pvt. Ltd,4-7 Yrs,Not disclosed,Bengaluru,Role Overview: As a senior data quality engineer of Big Data on Cloud reporting into Da...,"IT Skills
Cloud
Big Data
Automation
Data analysis
metadata
Product engineering
data governance"
data engineer,Upwork,1-4 Yrs,Not disclosed,India Gate,"RESPONSIBILITIES : You will analyze and design databases within a data warehouse area, ...","Supply chain
System testing
Data analysis
Linux
Data modeling
Postgresql
System design
Informatica"
sr. operations analyst,Citco,3-7 Yrs,Not disclosed,Pune,About the Role: The role will work closely with Senior Management to conduct data colle...,"Analyst
Data analysis
Excel
Operational risk
Data collection
Business intelligence
Macros
Financial services"
sr. data engineer,Rave Technologies (India) Pvt Ltd,8-10 Yrs,Not disclosed,Mumbai,Education: BE in Physics Experience (years): 08 to 10 years Key Functions Proficient in...,"IT Skills
Cloud
Oracle
Jenkins
Tableau
Power BI
System architecture
Automation"
indirect tax - analyst - ifs,Pricewaterhouse Coopers Private Limited,1-3 Yrs,Not disclosed,Gurgaon,Requirements: Qualification: B.Com (H) / M.Com / MBA / Semi Qualified CA Experience : 1...,"Analyst
Data analysis
Financial reporting
Financial planning
IFS
Taxation
Investment management
Oracle"
indirect tax - analyst - ifs,Pricewaterhouse Coopers Private Limited,1-3 Yrs,Not disclosed,Gurgaon,Requirements: Qualification: B.Com (H) / M.Com / MBA / Semi Qualified CA Experience : 1...,"Analyst
Data analysis
Financial reporting
Financial planning
IFS
Taxation
Investment management
Oracle"
"analyst 2, sales operations",Pulse Secure LLC,5-7 Yrs,Not disclosed,Mumbai,What We Do Empower users to seamlessly and securely connect from any place in the world...,"IT Skills
Salesforce
global operations
MS Office suite
Data analysis
ERP
Excel
Sales operations"
data system analyst,Neev Academy,1-3 Yrs,Not disclosed,Bengaluru,Responsibilities: Analyze reporting requirements and design reports accordingly Produce...,"Report generation
Data analysis
metadata
Time management
Process improvement
Data collection
data integrity
System Analyst"
data engineer with yardi experience| permanent oppurtunity| bangalore,Varite India Pvt. Ltd.,6-10 Yrs,Not disclosed,Bengaluru,5+ Years of experience in software industryData Engineer (Yardi) Min 6-1 years real tim...,"Power BI
Data Structures
Data Analysis
Data Modeling
Yardi
SQL"
business analyst,Asahi India Glass Ltd.,3-5 Yrs,"5,50,000 - 7,00,000 PA.",Delhi NCR(Ishwar nagar),1.Financial: Setting Price approval for all zonesSetting Collection targets ( both all ...,"mis
reporting analyst
mis analyst
business analysis
Data Analyst"
digital marketing analyst,ZoomRx Healthcare Technology Solutions,1-5 Yrs,"4,50,000 - 7,50,000 PA.",Chennai,5 to 4 years experience in digital marketing and data analytics,"Digital Marketing
Campaign Analytics
Strong Analytical Skills
Google Analytics
Google AdWords
Marketing Campaigns
Social Media Marketing
Email Campaign"
sr. analyst/ manager - energy demand & forecasting,Mercados,5-10 Yrs,Not disclosed,"Patna, Bihar",Preferably from an energy consulting firm OR IT firm working in energy & utilities vert...,"Load Flow
R
Power System
Data Analysis
Advanced Excel
Tableau
Data Warehousing
Electricals"
sr. applications analyst,Multi Recruit,5-10 Yrs,Not disclosed,Bengaluru,Roles and Responsibility Consistently demonstrate L Brands enterprise and functional co...,"Data analysis
Interpersonal skills
Agile scrum
Application programming
Workflow
data mapping
Troubleshooting
Project delivery"
sr. data analyst,Collabera Technologies Private Limited,5-10 Yrs,"8,00,000 - 15,00,000 PA.",Pune,Roles and Responsibilities - Experience in performing in-depth data analysis - reverse ...,"Leadership
Data Analysis
Big Data
Spark
Data Modeling
SQL"
analyst -thunderhead,Societe Generale Global Solution Centre Pvt Ltd,5-10 Yrs,Not disclosed,Bengaluru,Responsibilities1- Contracts management • Agree on the operational feasibility of the c...,"Communication Skills
Investment Banking
Finance
Data Analysis
Portfolio Valuation
Derivatives
Loan Operations
Collateral Management"
